Review ID,Order item ID,Rating,Description,Datetime
F0000001,PO0000003,5,"They are well-crafted and thoughtfully designed, bringing both function and beauty to living spaces.",19/04/2024
F0000002,PO0000002,5,The range of colors and materials provides ample options for personalizing your home.,21/04/2024
F0000003,PO0000001,5,"They blend the perfect mix of form and function, combining utility with artistic beauty.",21/04/2024
F0000004,PO0000004,5,These pieces help make my home feel comfortable and more like 'me.',23/04/2024
F0000005,PO0000006,5,They’re fairly priced for how nice they look and feel.,23/04/2024
F0000006,PO0000005,5,"The designs are timeless, so they'll keep looking good even if my decor changes.",23/04/2024
F0000007,PO0000007,5,"It's great to have so many color and style options, making it easy to match my taste.",25/04/2024
F0000008,PO0000008,5,I'm impressed with the quality and craftsmanship—these are built to last.,26/04/2024
F0000009,PO0000009,5,"The attention to detail really shines through, from the colors to the textures.",14/05/2024
F0000010,PO0000013,5,The range of colors and materials provides ample options for personalizing my home.,22/05/2024
F0000011,PO0000011,5,"They mix well with my existing decor, helping to tie everything together.",24/05/2024
F0000012,PO0000012,5,Their timeless designs ensure that these decorations don't go out of style.,25/05/2024
F0000013,PO0000010,5,"Even with a simple design, they still make the room feel warm and cozy.",26/05/2024
