Product ID,Product Name,Product Option Type,Price,Description
D001,Plastic Tulip flowers for home decoration,Color,9.500,"Artificial flowers High quality PU faux tulips in many colors. Decor flowers for home decoration, lovely, natural photography accessories"
D002,Decorative marble bowl,Size,199000 - 249.000,"- White marble.
- For decorative purposes only; not food safe.
- Sold individually. Trays are sold in sets of 2 trays.
- Set of 2 includes: Small Tray and Large Tray."
D003,Decorative flower-shaped milk dish,Color,76.900,"- Can be used as a dessert plate or as a jewelry tray
- The product is also a lovely accessory ~"
D004,Set of 4 cute decorative wool flowers,Default,489.000,"These are artificial flowers woven from synthetic wool.

Bring complete guest style to your home.

Simple but extremely romantic and unique.

Each set includes 4 flowers"
D005,Mushroom-shaped pots,Default,78.400,"The pot set has the design and size as shown in the picture.

Simple, lovely pattern 🤤🤤🤤

Customers who receive goods should record an unpacking video to receive a refund due to wrong goods or breakage during transportation."
D006,Decorative flower-shaped ceramic vase,Color,87.000,"Characteristic:
1. Made of high quality ceramic material, non-toxic and tasteless, durable, environmentally friendly and practical.
2. Stylish and beautiful, it can be placed on a coffee table or cabinet to perfectly decorate your home.
3. Design in design, rough surface design and design, Artificial flowers can be placed & real hydroponic flowers.
4. Use: Suitable for home decoration, wedding decoration, party decoration, stage decoration, banquet table decoration, etc.

Size:
- Yellow flower vase: 12.5*7.2cm
- White flower vase: 11*9.7cm"
D007,Flower arrangement in the shape of a straw mushroom,Size,98.000-199.000,"Expertly crafted by skilled artisans, this vase features a unique design that is sure to please any nature lover.

This versatile vase is ideal for growing plants or displaying beautiful bouquets. Its unique mushroom shape provides a stunning backdrop for your flowers and adds a unique touch to your space. The hand-blown glass construction ensures that each vase is a one-of-a-kind piece, adding a special touch to your decorative collection.
"
D008,Curved table mirror,Color,145.000,"Enhance the aesthetics of your home with our luxurious natural wood and oval vintage mirrors. The perfect addition to your decor, this mirror can be placed on any tabletop or hung on the wall for an elegant feel.
With dimensions H 24.7 cm X W 19.2 cm, you are sure to add sophistication to your space."
D009,Statue of a girl holding a plate for home decoration,Color,480.000,"- Product dimensions: 28cm high, 14cm wide, 17cm metal tray
-Material: Imported composite resin specializes in making decorative statues that are lightweight, durable, and meticulously processed
-Note: The product does not include flowers as shown in the picture, dear customers, my shop sells artificial flowers. You can choose to put them together too.
-Category: Green tray girl -green flower arrangement girl
Rose tray girl - rose arrangement girl

‼️‼️ A little note when purchasing: The product may be darker/lighter in color than in the photo due to lighting and some other factors. However, the difference is not much or too obvious, so you can rest assured to order"
D010,Rabbit statue holding roses containing decorative items,Color,288.000,"Product type: Rabbit flower key tray

Plastic material

Weight: 1210 g / 42.68 oz (approx.)"
